musical,song,text
Follies,"Ah, Paris! / Broadway Baby",To pierce the dark
Follies,"Ah, Paris! / Broadway Baby",From Battery Park
Follies,"Ah, Paris! / Broadway Baby",Way up to Washington Heights!
Follies,"Ah, Paris! / Broadway Baby","Someday, maybe"
Follies,"Ah, Paris! / Broadway Baby",All my dreams will be repaid
Follies,"Ah, Paris! / Broadway Baby","Hell, I'd even play the maid"
Follies,"Ah, Paris! / Broadway Baby",To be in a show
Follies,"Ah, Paris! / Broadway Baby","Say, Mr. Producer"
Follies,"Ah, Paris! / Broadway Baby","Yeah, I'm talking to you, sir"
Follies,"Ah, Paris! / Broadway Baby",I don't need a lot
Follies,"Ah, Paris! / Broadway Baby",Only what I've got
Follies,"Ah, Paris! / Broadway Baby",Plus a tube of greasepaint and a follow-spot!
Follies,"Ah, Paris! / Broadway Baby",I'm just a Broadway baby
Follies,"Ah, Paris! / Broadway Baby",If I stick it long enough
Follies,"Ah, Paris! / Broadway Baby",I may get to strut my stuff
Follies,"Ah, Paris! / Broadway Baby",Working for a nice man
Follies,"Ah, Paris! / Broadway Baby",Like a Ziegfeld or a Weismann
Follies,"Ah, Paris! / Broadway Baby",In a great big
Follies,"Ah, Paris! / Broadway Baby",Broadway show!
Follies,The Road You Didn't Take,You're either a poet
Follies,The Road You Didn't Take,Or you're a lover
Follies,The Road You Didn't Take,Or you're the famous
Follies,The Road You Didn't Take,Benjamin Stone
Follies,The Road You Didn't Take,You take one road
Follies,The Road You Didn't Take,You try one door
Follies,The Road You Didn't Take,There isn't time for any more
Follies,The Road You Didn't Take,One's life consists of either/or
Follies,The Road You Didn't Take,One has regrets
Follies,The Road You Didn't Take,Which one forgets
Follies,The Road You Didn't Take,And as the years go on
Follies,The Road You Didn't Take,The road you didn't take
Follies,The Road You Didn't Take,Hardly comes to mind
Follies,The Road You Didn't Take,Does it?
Follies,The Road You Didn't Take,The door you didn't try
Follies,The Road You Didn't Take,Where could it have led?
Follies,The Road You Didn't Take,The choice you didn't make
Follies,The Road You Didn't Take,Never was defined
Follies,The Road You Didn't Take,Was it?
Follies,The Road You Didn't Take,Dreams you didn't dare
Follies,The Road You Didn't Take,Are dead
Follies,The Road You Didn't Take,Were they ever there?
Follies,The Road You Didn't Take,Who said?
Follies,The Road You Didn't Take,I don't remember
Follies,The Road You Didn't Take,I don't remember
Follies,The Road You Didn't Take,At all...
Follies,The Road You Didn't Take,The books I'll never read
Follies,The Road You Didn't Take,Wouldn't change a thing
Follies,The Road You Didn't Take,Would they?
Follies,The Road You Didn't Take,The girls I'll never know
Follies,The Road You Didn't Take,I'm too tired for
Follies,The Road You Didn't Take,The lives I'll never lead
Follies,The Road You Didn't Take,Couldn't make me sing
Follies,The Road You Didn't Take,Could they?
Follies,The Road You Didn't Take,Could they?
Follies,The Road You Didn't Take,Could they?
Follies,The Road You Didn't Take,Chances that you miss
Follies,The Road You Didn't Take,Ignore
Follies,The Road You Didn't Take,Ignorance is bliss—
Follies,The Road You Didn't Take,What's more
Follies,The Road You Didn't Take,You won't remember
Follies,The Road You Didn't Take,You won't remember
Follies,The Road You Didn't Take,At all
Follies,The Road You Didn't Take,Not at all...
Follies,The Road You Didn't Take,You yearn for the women
Follies,The Road You Didn't Take,Long for the money
Follies,The Road You Didn't Take,Envy the famous
Follies,The Road You Didn't Take,Benjamin Stones
Follies,The Road You Didn't Take,You take your road
Follies,The Road You Didn't Take,The decades fly
Follies,The Road You Didn't Take,"The yearnings fade, the longings die"
Follies,The Road You Didn't Take,You learn to bid them all goodbye
Follies,The Road You Didn't Take,"And oh, the peace"
Follies,The Road You Didn't Take,The blessed peace...
Follies,The Road You Didn't Take,At last you come to know
Follies,The Road You Didn't Take,The roads you never take
Follies,The Road You Didn't Take,Go through rocky ground
Follies,The Road You Didn't Take,Don't they?
Follies,The Road You Didn't Take,The choices that you make
Follies,The Road You Didn't Take,Aren't all that grim
Follies,The Road You Didn't Take,The worlds you never see
Follies,The Road You Didn't Take,Still will be around
Follies,The Road You Didn't Take,Won't they?
Follies,The Road You Didn't Take,The Ben I'll never be
Follies,The Road You Didn't Take,Who remembers him?
Follies,In Buddy's Eyes,Life is slow but it seems exciting
Follies,In Buddy's Eyes,Cause Buddy's there
Follies,In Buddy's Eyes,Gourmet cooking and letter-writing
Follies,In Buddy's Eyes,And knowing Buddy's there
Follies,In Buddy's Eyes,Every morning—don't faint—
Follies,In Buddy's Eyes,I tend the flowers
Follies,In Buddy's Eyes,Can you believe it?
Follies,In Buddy's Eyes,Every weekend I paint
Follies,In Buddy's Eyes,For umpteen hours
Follies,In Buddy's Eyes,"And yes, I miss a lot"
Follies,In Buddy's Eyes,Living like a shut-in
Follies,In Buddy's Eyes,"No, I haven't got"
Follies,In Buddy's Eyes,Cooks and cars and diamonds
Follies,In Buddy's Eyes,"Yes, my clothes are not"
Follies,In Buddy's Eyes,"Paris fashions, but in"
Follies,In Buddy's Eyes,Buddy's eyes
Follies,In Buddy's Eyes,"I'm young, I'm beautiful"
Follies,In Buddy's Eyes,In Buddy's eyes
Follies,In Buddy's Eyes,I don't get older
Follies,In Buddy's Eyes,So life is ducky
Follies,In Buddy's Eyes,And time goes flying
Follies,In Buddy's Eyes,And I'm so lucky
Follies,In Buddy's Eyes,I feel like crying
Follies,In Buddy's Eyes,And...
Follies,In Buddy's Eyes,I married the right man then
Follies,In Buddy's Eyes,In Buddy's eyes
Follies,In Buddy's Eyes,"I'm young, I'm beautiful"
Follies,In Buddy's Eyes,In Buddy's eyes
Follies,In Buddy's Eyes,I can't get older
Follies,In Buddy's Eyes,I'm still the princess
Follies,In Buddy's Eyes,Still the prize
Follies,In Buddy's Eyes,In Buddy's eyes
Follies,In Buddy's Eyes,"I'm young, I'm beautiful"
Follies,In Buddy's Eyes,In Buddy's arms
Follies,In Buddy's Eyes,On Buddy's shoulder
Follies,In Buddy's Eyes,I won't get older
Follies,In Buddy's Eyes,Nothing dies
Follies,In Buddy's Eyes,And all I ever dreamed I'd be
Follies,In Buddy's Eyes,The best I ever thought of me
Follies,In Buddy's Eyes,Is every minute there to see
Follies,In Buddy's Eyes,In Buddy's eyes
Follies,Who's That Woman,Who's that woman? I know her well
Follies,Who's That Woman,All decked out head to toe
Follies,Who's That Woman,She lives life like a carousel
Follies,Who's That Woman,Beau after beau after beau
Follies,Who's That Woman,"Nightly, daily"
Follies,Who's That Woman,Always laughing gaily
Follies,Who's That Woman,Seems I see her everywhere I go
Follies,Who's That Woman,Oh—
Follies,Who's That Woman,Who's that woman?
Follies,Who's That Woman,I know I know that woman
Follies,Who's That Woman,So clever
Follies,Who's That Woman,But ever
Follies,Who's That Woman,So sad
Follies,Who's That Woman,"Love, she said, was a fad"
Follies,Who's That Woman,The kind of love that she couldn't make fun of
Follies,Who's That Woman,She'd have none of
Follies,Who's That Woman,Who's that woman
Follies,Who's That Woman,"That cheery, weary woman"
Follies,Who's That Woman,Who's dressing for yet one more spree?
Follies,Who's That Woman,Each day I see her pass
Follies,Who's That Woman,In my looking glass—
Follies,Who's That Woman,"Lord, Lord, Lord, that woman is me!"
Follies,Who's That Woman,"Mirror, mirror, on the wall"
Follies,Who's That Woman,Who's thе saddest gal in town?
Follies,Who's That Woman,Who's been riding for a fall?
Follies,Who's That Woman,Whose Lothario let hеr down?
Follies,Who's That Woman,"Mirror, mirror, answer me:"
Follies,Who's That Woman,Who is she who plays the clown?
Follies,Who's That Woman,Is she out each night till three?
Follies,Who's That Woman,Does she laugh with too much glee?
Follies,Who's That Woman,"On reflection, she'd agree"
Follies,Who's That Woman,"Mirror, mirror"
Follies,Who's That Woman,"Mirror, mirror"
Follies,Who's That Woman,"Mirror, mirror..."
Follies,Who's That Woman,Who's that woman?
Follies,Who's That Woman,I mean
Follies,Who's That Woman,I've seen
Follies,Who's That Woman,"That woman, who's joking"
Follies,Who's That Woman,But choking
Follies,Who's That Woman,Back tears
Follies,Who's That Woman,"Mirror, mirror, on the wall"
Follies,Who's That Woman,Who's the saddest gal in town?
Follies,Who's That Woman,All those glittering years
Follies,Who's That Woman,She thought that
Follies,Who's That Woman,Whose Lothario let her down?
Follies,Who's That Woman,Love was a matter of
