Musical,Song,Text
Sunday in the Park with George,Color and Light,From the blue-green blue-green
Sunday in the Park with George,Color and Light,Blue-green circle
Sunday in the Park with George,Color and Light,On the violet diagonal
Sunday in the Park with George,Color and Light,Di-ag-ag-ag-ag-ag-o-nal-nal
Sunday in the Park with George,Color and Light,Yellow comma yellow comma
Sunday in the Park with George,Color and Light,Numnum num numnumnum
Sunday in the Park with George,Color and Light,Numnum num...
Sunday in the Park with George,Color and Light,Blue blue blue blue
Sunday in the Park with George,Color and Light,Blue still sitting
Sunday in the Park with George,Color and Light,Red that perfume
Sunday in the Park with George,Color and Light,Blue all night
Sunday in the Park with George,Color and Light,Blue-green the window shut
Sunday in the Park with George,Color and Light,Dut dut dut
Sunday in the Park with George,Color and Light,Dot Dot sitting
Sunday in the Park with George,Color and Light,Dot Dot waiting
Sunday in the Park with George,Color and Light,Dot Dot getting fat fat fat
Sunday in the Park with George,Color and Light,More yellow
Sunday in the Park with George,Color and Light,Dot Dot waiting to go
Sunday in the Park with George,Color and Light,Out out out
Sunday in the Park with George,Color and Light,No no no George
Sunday in the Park with George,Color and Light,Finish the hat finish the hat
Sunday in the Park with George,Color and Light,Have to finish the hat first
Sunday in the Park with George,Color and Light,Hat hat hat hat
Sunday in the Park with George,Color and Light,Hot hot hot it's hot in here...
Sunday in the Park with George,Color and Light,Sunday!
Sunday in the Park with George,Color and Light,Color and light!
Sunday in the Park with George,Color and Light,But how George looks
Sunday in the Park with George,Color and Light,He could look forever
Sunday in the Park with George,Color and Light,There's only color and light
Sunday in the Park with George,Color and Light,As if he sees you and he doesn't all at once
Sunday in the Park with George,Color and Light,Purple and white...
Sunday in the Park with George,Color and Light,What is he thinking when he looks like that?
Sunday in the Park with George,Color and Light,...And red and purple and white!
Sunday in the Park with George,Color and Light,What does he see?
Sunday in the Park with George,Color and Light,"Sometimes, not even blinking"
Sunday in the Park with George,Color and Light,"Look at this glade, girls"
Sunday in the Park with George,Color and Light,Your cool blue spot
Sunday in the Park with George,Color and Light,His eyes
Sunday in the Park with George,Color and Light,So dark and shiny
Sunday in the Park with George,Color and Light,"No, stay in the shade, girls"
Sunday in the Park with George,Color and Light,It's getting hot...
Sunday in the Park with George,Color and Light,Some think cold and black
Sunday in the Park with George,Color and Light,It's getting orange...
Sunday in the Park with George,Color and Light,But it's warm inside his eyes...
Sunday in the Park with George,Color and Light,Hotter...
Sunday in the Park with George,Color and Light,And it's soft inside his eyes...
Sunday in the Park with George,Color and Light,And he burns you with his eyes...
Sunday in the Park with George,Color and Light,Look at her looking
