musical,song,text
Passion,Garden Sequence,"I'm not afraid of death. I rather think I'd welcome dying. It's being shut up in a coffin, covered by the earth, that I dread"
Passion,Garden Sequence,"All I saw, all I knew"
Passion,Garden Sequence,All that I could think of was you
Passion,Garden Sequence,All that I could think of was you
Passion,Garden Sequence,How ridiculous
Passion,Garden Sequence,To be looking at her
Passion,Garden Sequence,And be thinking of you
Passion,Garden Sequence,How could anyone
Passion,Garden Sequence,So unbeautiful
Passion,Garden Sequence,Stir my memory of you?
Passion,Garden Sequence,To feel a woman's touch
Passion,Garden Sequence,To touch a woman's hand
Passion,Garden Sequence,Reminded me how much I long to be with you
Passion,Garden Sequence,How long I've been without you near
Passion,Garden Sequence,And then to hear a woman's voice
Passion,Garden Sequence,To hold a woman's arm
Passion,Garden Sequence,To feel a woman's touch...
Passion,Garden Sequence,"These thoughts are bad for you. Surely if you are sick, you must realize that there is also the hope that you will get better"
Passion,Garden Sequence,Hope in my case is in short supply
Passion,Garden Sequence,Uld somehow make one happy
Passion,Garden Sequence,Perhaps it was the dress
Passion,Garden Sequence,The fragrance of her dress
Passion,Garden Sequence,The light perfume of silk
Passion,Garden Sequence,That's warm from being in the sun
Passion,Garden Sequence,That mingles with a woman's own perfume
Passion,Garden Sequence,The fragrance of a woman...
Passion,Garden Sequence,"There is no absolute happiness in anyone's life, Signora"
Passion,Garden Sequence,The only happiness we can be certain of is love
Passion,Garden Sequence,The garden filled with you-
Passion,Garden Sequence,Are you speaking of friendships?
Passion,Garden Sequence,I'm speaking of a superior love
Passion,Garden Sequence,And all that I could do
Passion,Garden Sequence,Because of you
Passion,Garden Sequence,Was talk of love
Passion,Garden Sequence,Love that fills every waking moment
Passion,Garden Sequence,Love that grows every single day
Passion,Garden Sequence,Love that thinks everything is pure
Passion,Garden Sequence,Everything is beautiful
Passion,Garden Sequence,Everything is possible
Passion,Garden Sequence,Love that fuses two into one
Passion,Garden Sequence,Where we think the same thoughts
Passion,Garden Sequence,Want the same things
Passion,Garden Sequence,Live as one
Passion,Garden Sequence,Feel as one
Passion,Garden Sequence,Breathe as one
Passion,Garden Sequence,Love that shuts away the world
Passion,Garden Sequence,Love that shuts away the world
Passion,Garden Sequence,That envelops my soul
Passion,Garden Sequence,That envelops your soul
Passion,Garden Sequence,That ennobles my life
Passion,Garden Sequence,Your life
Passion,Garden Sequence,Love that floods
Passion,Garden Sequence,Every living moment
Passion,Garden Sequence,Love like
Passion,Garden Sequence,-ours
Passion,Garden Sequence,Love like-?
Passion,Garden Sequence,-like wine
Passion,Garden Sequence,An intoxication
Passion,Garden Sequence,"A great blindness, if you will"
Passion,Garden Sequence,"You can be incredibly cruel, Captain"
Passion,Garden Sequence,Cruel?
Passion,Garden Sequence,To speak to me of love
Passion,Garden Sequence,"Oh, forgive me! I didn't mean to-"
Passion,Garden Sequence,To dangle words like
Passion,Garden Sequence,"""Happiness"""
Passion,Garden Sequence,"""Beautiful"""
Passion,Garden Sequence,"""Superior"""
Passion,Garden Sequence,You can't be that naive
Passion,Garden Sequence,You with all your books
Passion,Garden Sequence,"Your taste, your sensitivity"
Passion,Garden Sequence,I thought you'd understand
Passion,Garden Sequence,"The others - well, they're all alike"
Passion,Garden Sequence,Stupidity is their excuse
Passion,Garden Sequence,As ugliness is mine
Passion,Garden Sequence,But what is yours?
Passion,Garden Sequence,I've watched you from my window
Passion,Garden Sequence,I saw you on the day that you arrived
Passion,Garden Sequence,Perhaps it was the way you walked
Passion,Garden Sequence,The way you spoke to your men
Passion,Garden Sequence,I saw that you were different then
Passion,Garden Sequence,I saw that you were kind and good
Passion,Garden Sequence,I thought you understood
Passion,Garden Sequence,They hear drums
Passion,Garden Sequence,You hear music
Passion,Garden Sequence,As do I
Passion,Garden Sequence,Don't you see?
Passion,Garden Sequence,We're the same
Passion,Garden Sequence,We are different
Passion,Garden Sequence,You and I are different
Passion,Garden Sequence,They hear only drums
Passion,Garden Sequence,All the time I watched from my room
Passion,Garden Sequence,I would think of coming downstairs
Passion,Garden Sequence,Thinking we'd meet
Passion,Garden Sequence,Thinking you'd look at me
Passion,Garden Sequence,Thinking you'd be repelled by what you saw
Passion,Garden Sequence,Don't reject me
Passion,Garden Sequence,"Don't deny me, Captain"
Passion,Garden Sequence,"Understand me, be my friend"
Passion,Garden Sequence,"They hear drums, we hear music"
Passion,Garden Sequence,Be my friend...
Passion,Transition (#2),All the time I watched
Passion,Transition (#2),From my room
Passion,Transition (#2),Thinking we'd meet
Passion,Transition (#2),Thinking you'd look at me
Passion,Transition (#2),Thinking you'd
Passion,Transition (#2),Be repelled by what you saw
Passion,Transition (#2),Don't reject me
Passion,Transition (#2),Don't deny me
Passion,Transition (#2),Understand me; be my friend
Passion,Transition (#2),They hear drums; we hear music
Passion,Transition (#2),Be my friend
Passion,Transition (#2),What are you doing up and out at this hour?
Passion,Transition (#2),When will you be back?
Passion,Transition (#2),You know I have a five day leave. I must go
Passion,Transition (#2),Write me!
Passion,Transition (#2),"Fine, I'll write you..."
Passion,Transition (#2),Promise!
Passion,Transition (#2),"Yes, I promise"
Passion,Transition (#2),Tomorrow?
Passion,Transition (#2),"Tomorrow. Go, I want no one to see you here"
Passion,Transition (#2),Bless you
Passion,Trio,"I am writing to you, Signora"
Passion,Trio,Just as soon as I've arrived
Passion,Trio,With a most unhappy heart
Passion,Trio,I do not wish
Passion,Trio,To cause you pain
Passion,Trio,So please consider what I say
Passion,Trio,With calm
Passion,Trio,My heart
Passion,Trio,My heart belongs
Passion,Trio,My heart belongs to someone else
Passion,Trio,I am in love
Passion,Trio,Hopelessly in love
Passion,Trio,Hopelessly in love
Passion,Trio,And am loved
Passion,Trio,"Hopelessly in turn, Signora"
Passion,Trio,You and I
Passion,Trio,We're not meant for each other
Passion,Trio,If I seemed to imply
Passion,Trio,Something more
Passion,Trio,I apologize
Passion,Trio,But since we're forced to be together
Passion,Trio,Let us try to face the fact
Passion,Trio,Let us both behave with tact
Passion,Trio,If this letter seems cold-hearted
Passion,Trio,It conceals my own distress
Passion,Trio,Nonetheless
Passion,Trio,We must end what never started
Passion,Trio,You must recognize
Passion,Trio,There is nothing between us
Passion,Trio,Nothing
Passion,Trio,Nothing
Passion,Trio,Nothing
Passion,Trio,God
Passion,Trio,You are so beautiful
Passion,Trio,As I remember every night
Passion,Trio,Clear and beautiful
Passion,Trio,"Every night, every day"
Passion,Trio,Every part of you
Passion,Trio,You feel so good
Passion,Trio,As if you'd never been away
Passion,Trio,Your breath so warm
Passion,Trio,Your touch so sure
Passion,Trio,Your skin so delicate
Passion,Trio,Your arms so strong
Passion,Trio,All this happiness
Passion,Trio,Being here with you in the dark
Passion,Trio,So much happiness
Passion,Trio,Even more than what I felt before!
Passion,Trio,To feel your touch again
Passion,Trio,When so much time has passed
Passion,Trio,To dream of you and then
Passion,Trio,To be with you again
Passion,Trio,And have some time at last
Passion,Trio,How long were we apart
Passion,Trio,"A month, a week, a day?"
Passion,Trio,To feel your touch again
Passion,Trio,You've never been away
Passion,Trio,"Still, I've missed you"
Passion,Trio,So much
Passion,Trio,I'm here now
Passion,Trio,Welcome home
Passion,Transition (#3),I've watched you from my window
Passion,Transition (#3),I saw you on the day that you arrived
Passion,Transition (#3),Perhaps it was the way you walked
Passion,Transition (#3),The way you spoke to your men
Passion,Transition (#3),You were different then
Passion,Transition (#3),You were kind and good
Passion,Transition (#3),I thought you understood
Passion,I Wish I Could Forget You,"Fosca, it will be light soon, I should be going."
Passion,I Wish I Could Forget You,Would you do me a great favor before you leave?
Passion,I Wish I Could Forget You,Would you write a letter for me?
Passion,I Wish I Could Forget You,Certainly.
Passion,I Wish I Could Forget You,My dearest... Fosca.
Passion,I Wish I Could Forget You,Please.
Passion,I Wish I Could Forget You,"""My dearest Fosca..."""
Passion,I Wish I Could Forget You,I wish I could forget you
Passion,I Wish I Could Forget You,Erase you from my mind
Passion,I Wish I Could Forget You,But ever since I met you
Passion,I Wish I Could Forget You,I find
Passion,I Wish I Could Forget You,I cannot leave the thought of you behind
Passion,I Wish I Could Forget You,That doesn't mean I love you...
Passion,I Wish I Could Forget You,"""That doesn't mean I love you..."""
Passion,I Wish I Could Forget You,I wish that I could love you...
Passion,I Wish I Could Forget You,I know that I've upset you
Passion,I Wish I Could Forget You,I know I've been unkind
Passion,I Wish I Could Forget You,I wanted you to vanish from sight
Passion,I Wish I Could Forget You,But now I see you in a different light
Passion,I Wish I Could Forget You,And though I cannot love you
Passion,I Wish I Could Forget You,I wish that I could love you
Passion,I Wish I Could Forget You,For now I'm seeing love
Passion,I Wish I Could Forget You,Like none I've ever known
Passion,I Wish I Could Forget You,A love as pure as breath
Passion,I Wish I Could Forget You,As permanent as death
Passion,I Wish I Could Forget You,Implacable as stone
Passion,I Wish I Could Forget You,A love that like a knife
Passion,I Wish I Could Forget You,Has cut into a life
Passion,I Wish I Could Forget You,I wanted left alone
Passion,I Wish I Could Forget You,A love I may regret
Passion,I Wish I Could Forget You,But one I can't forget
Passion,I Wish I Could Forget You,I don't know how I let you
Passion,I Wish I Could Forget You,So far inside my mind
Passion,I Wish I Could Forget You,But there you are and there you will stay
Passion,I Wish I Could Forget You,How could I ever wish you away?
Passion,I Wish I Could Forget You,I see now I was blind
Passion,I Wish I Could Forget You,And should you die tomorrow
Passion,I Wish I Could Forget You,Another thing I see:
Passion,I Wish I Could Forget You,Your love will live in me
Passion,I Wish I Could Forget You,I remain...
Passion,I Wish I Could Forget You,Your Giorgio.
Passion,Soldiers' Gossip (#1),Did you hear the scream last night?
Passion,Soldiers' Gossip (#1),Did anybody not?
Passion,Soldiers' Gossip (#1),Four ball on the side
Passion,Soldiers' Gossip (#1),"She knows how to scream, all right"
Passion,Soldiers' Gossip (#1),"Well, she practices a lot"
Passion,Soldiers' Gossip (#1),Good shot
Passion,Soldiers' Gossip (#1),Six ball in the corner
Passion,Soldiers' Gossip (#1),"So that wasn't dying, we assume?"
Passion,Soldiers' Gossip (#1),"No, I think she just fell off her broom"
Passion,Soldiers' Gossip (#1),Or they hung a mirror in the room
Passion,Soldiers' Gossip (#1),Of La Signora!
Passion,Soldiers' Gossip (#1),La Signora!
Passion,Soldiers' Gossip (#1),La Signora!
Passion,Soldiers' Gossip (#1),"Please, a little quiet!"
Passion,Soldiers' Gossip (#1),"Care to play, Captain?"
Passion,Soldiers' Gossip (#1),No. Thank you for asking
Passion,Soldiers' Gossip (#1),"Just a bit aloof, don't you think?"
Passion,Soldiers' Gossip (#1),Not around the Colonel
Passion,Soldiers' Gossip (#1),"Gentlemen, gentlemen!"
Passion,Soldiers' Gossip (#1),Never trust a man who doesn't drink
Passion,Soldiers' Gossip (#1),And he keeps a journal
Passion,Soldiers' Gossip (#1),Eight-ball off the nine
Passion,Soldiers' Gossip (#1),"Maybe, though, he just prefers his books"
Passion,Soldiers' Gossip (#1),Not as much as he prefers his looks
Passion,Soldiers' Gossip (#1),Which is why he thinks he's got his hooks
Passion,Soldiers' Gossip (#1),Into La Signora
Passion,Soldiers' Gossip (#1),"Gentlemen, I'll make a wager:"
Passion,Soldiers' Gossip (#1),"Come the summer, he'll be Major"
Passion,Soldiers' Gossip (#1),I'll say!
Passion,Soldiers' Gossip (#1),I'll say!
Passion,Soldiers' Gossip (#1),I'll say!
Passion,Flashback,"Captain, I cannot thank you enough. Your kindness to my cousin has meant a great deal"
Passion,Flashback,You have no reason to thank me
Passion,Flashback,Any attention that is paid to her means so much. Signora Fosca has always had a shortage of friends
Passion,Flashback,My dearest Giorgio. I am writing you even though the Doctor has forbidden it. What a joy to have someone to whom I can tell my feelings. To share my past
Passion,Flashback,"I was a young man when my parents died, and Fosca's mother and father welcomed me into their house whenever I was on leave"
Passion,Flashback,As a child
Passion,Flashback,As a child
Passion,Flashback,She was lonely
Passion,Flashback,I was happy
Passion,Flashback,Her parеnts doted on her
Passion,Flashback,My parents dotеd on me
Passion,Flashback,They said:
Passion,Flashback,Beautiful
Passion,Flashback,So sensitive
Passion,Flashback,So beautiful
Passion,Flashback,They told me to be:
Passion,Flashback,Careful
Passion,Flashback,Of course
Passion,Flashback,Fosca
Passion,Flashback,"To them, she was"
Passion,Flashback,A girl as beautiful as you are has to
Passion,Flashback,And so
Passion,Flashback,Be careful
Passion,Flashback,I thought
Passion,Flashback,That I was beautiful
Passion,Flashback,And then she (I) reached the age
Passion,Flashback,Where being beautiful
Passion,Flashback,Becomes the most important thing
Passion,Flashback,A woman can be
Passion,Flashback,An unattractive man
Passion,Flashback,As long as you're a man
Passion,Flashback,You still have opportunities
Passion,Flashback,Can still have opportunities
Passion,Flashback,Beautiful...
Passion,Flashback,"Whereas, if you're a woman"
Passion,Flashback,You either are a daughter or a wife
Passion,Flashback,A woman is a flower
Passion,Flashback,You marry
Passion,Flashback,You're seventeen
Passion,Flashback,Or you're a daughter all your life
Passion,Flashback,Now is the hour...
Passion,Flashback,I'd met this nice young man
Passion,Flashback,I'd seen this nice young man
Passion,Flashback,He'd introduced himself
Passion,Flashback,Passing by
Passion,Flashback,At my club
Passion,Flashback,Just below my window
Passion,Flashback,So
Passion,Flashback,One day
Passion,Flashback,One evening I invited him
Passion,Flashback,He tipped his hat to me
Passion,Flashback,Home
Passion,Flashback,Count Ludovic!
Passion,Flashback,I must admit that I was flattered
Passion,Flashback,This is my Aunt Teresa and my Uncle Bruno
Passion,Flashback,A count?
Passion,Flashback,"From where, if I may ask?"
Passion,Flashback,Austria
Passion,Flashback,Austria...
Passion,Flashback,What a beautiful place
Passion,Flashback,"Fosca, we have a visitor!"
Passion,Flashback,Imagine my surprise
Passion,Flashback,"I'd like you to meet a new friend, Count Ludovic!"
Passion,Flashback,He was even more handsome up close
Passion,Flashback,I was amazed to see the count take such an interest in my cousin
Passion,Flashback,"If I had known you were here, Signorina-"
Passion,Flashback,"""If he had known,"" of course he knew"
Passion,Flashback,I would have brought you many flowers
Passion,Flashback,If I had known...
Passion,Flashback,You do like flowers?
Passion,Flashback,Yes
Passion,Flashback,I should have known
Passion,Flashback,I've seen you at your window
Passion,Flashback,Won't you stay for dinner?
Passion,Flashback,"Do, yes"
Passion,Flashback,I've watched you every day since I arrived
Passion,Flashback,I had my suspicions
Passion,Flashback,I had no suspicion
Passion,Flashback,I chose not to see
Passion,Flashback,The way you move
Passion,Flashback,The way you gaze at the sky
Passion,Flashback,For love had made me blind
Passion,Flashback,How could I be so blind?
Passion,Flashback,Or what I took for love
Passion,Flashback,"Within a month, he had asked for her hand"
Passion,Flashback,Signora Fosca has been married?
Passion,Flashback,Yes
Passion,Flashback,"Austria, Count Ludovic of Austria"
Passion,Flashback,I sensed in him a danger
Passion,Flashback,"Deception, even violence"
Passion,Flashback,"I must admit, to some degree"
Passion,Flashback,That it excited me
Passion,Flashback,"Austria, Count Ludovic of Austria"
Passion,Flashback,"Once they were married, once he'd received my uncle's sizable dowry, he traveled a great deal, was unavailable to Fosca"
Passion,Flashback,He gambled away the dowry. I was forced to go to my parents to borrow from what little savings they had left
Passion,Flashback,"Then, one day, as she was coming from market..."
Passion,Flashback,Excuse me. You're the wife of a Count Ludovic?
Passion,Flashback,Yes
Passion,Flashback,You fool
Passion,Flashback,"The man's a fraud, a fake"
Passion,Flashback,The trips he said he had to take abroad
Passion,Flashback,He took them so he could be with me
Passion,Flashback,"He calls himself a count, but he's not"
Passion,Flashback,He's never had a title in his life!
Passion,Flashback,He doesn't have a title
Passion,Flashback,But he does have a wife
Passion,Flashback,And a child in Dalmatia
Passion,Flashback,"No, you must be mistaken"
Passion,Flashback,"Oh, yes"
Passion,Flashback,He only wants to bleed you
Passion,Flashback,Until the day he doesn't need you
Passion,Flashback,I warn you he'll abandon you
Passion,Flashback,As he abandoned her and me
Passion,Flashback,"And countless others, I've no doubt"
Passion,Flashback,"I'm telling you, the man was born without a heart"
Passion,Flashback,You fool...
Passion,Flashback,"I confronted him with this information, and he made no attempt to deny it"
Passion,Flashback,"Ah well, at last you know the truth, Signorina"
Passion,Flashback,"But you, as well, must face the truth"
Passion,Flashback,I've no desire to deceive you anymore
Passion,Flashback,But do admit what you ignore:
Passion,Flashback,"We made a bargain, did we not?"
Passion,Flashback,And we got what we bargained for
Passion,Flashback,"You gave me your money, I gave you my looks"
Passion,Flashback,And my charm and my arm
Passion,Flashback,I would say that more than balances the books
Passion,Flashback,Where's the harm?
Passion,Flashback,Now it's through
Passion,Flashback,If women sell their looks
Passion,Flashback,"Why can't a man, if he can?"
Passion,Flashback,"Besides, the money wasn't even yours"
Passion,Flashback,It belonged to those ridiculous old bores
Passion,Flashback,Your parents
Passion,Flashback,"Forgive me, my dear, but though you are no cutie"
Passion,Flashback,I fear you are not quite the victim you appear
Passion,Flashback,"Well, let us part by mutual consent and be content"
Passion,Flashback,"And so, good luck and goodbye"
Passion,Flashback,I must go
Passion,Flashback,"Oh, and yes, we haven't paid the rent"
Passion,Flashback,Since July
Passion,Flashback,Just so you know...
Passion,Flashback,I returned home to find my parents impoverished and in poor health
Passion,Flashback,Fosca's health failed
